date,daily_new_cases_avg,active_cases,cumulative_total_deaths,daily_new_deaths_avg,lagged_cumulative_cases_1,lagged_cumulative_cases_2,lagged_cumulative_cases_3,cumulative_total_cases
2020-02-18,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-02-19,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-02-20,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-02-21,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-02-22,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-02-23,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-02-24,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-02-25,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-02-26,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-02-27,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-02-28,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-02-29,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-03-01,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2020-03-02,0.4285714285714285,3.0,0.0,0.0,3.0,3.0,3.0,6.0
2020-03-03,0.5714285714285714,4.0,0.0,0.0,6.0,3.0,3.0,7.0
2020-03-04,3.714285714285715,26.0,0.0,0.0,7.0,6.0,3.0,29.0
2020-03-05,3.857142857142857,27.0,0.0,0.0,28.999999999999996,6.999999999999999,6.0,30.0
2020-03-06,4.0,28.0,0.0,0.0,30.0,29.0,7.000000000000001,31.0
2020-03-07,4.428571428571429,31.000000000000004,0.0,0.0,30.999999999999996,30.0,29.0,34.0
2020-03-08,5.285714285714286,37.0,0.0,0.0,34.0,31.0,30.0,40.0
2020-03-09,5.857142857142857,43.0,0.0,0.0,40.0,34.0,31.0,47.0
2020-03-10,7.857142857142857,58.00000000000001,0.0,0.0,46.99999999999999,40.0,34.0,62.0
2020-03-11,4.714285714285714,58.00000000000001,0.0,0.0,61.99999999999999,47.0,40.0,62.0
2020-03-12,6.285714285714286,69.0,1.0,0.14285714285714285,61.99999999999999,62.0,46.99999999999999,74.0
2020-03-13,7.285714285714285,70.0,2.0,0.2857142857142857,74.0,62.0,62.0,82.0
2020-03-14,9.428571428571429,88.0,2.0,0.2857142857142857,82.0,74.0,62.0,100.0
2020-03-15,10.571428571428571,99.0,2.0,0.2857142857142857,100.0,82.0,74.0,114.0
2020-03-16,11.714285714285714,114.0,2.0,0.2857142857142857,114.0,100.0,82.0,129.0
2020-03-17,11.571428571428571,126.0,3.0,0.42857142857142855,129.0,114.0,100.0,143.0
2020-03-18,15.285714285714286,152.0,3.0,0.42857142857142855,143.0,129.0,114.0,169.0
2020-03-19,17.142857142857142,170.0,4.0,0.42857142857142855,169.0,143.0,129.0,194.0
2020-03-20,23.857142857142858,221.0,5.0,0.42857142857142855,194.0,169.00000000000003,143.0,249.0
2020-03-21,33.142857142857146,304.0,5.0,0.42857142857142855,249.0,194.0,169.0,332.0
2020-03-22,40.285714285714285,364.0,8.0,0.8571428571428571,332.00000000000006,249.0,194.0,396.00000000000006
2020-03-23,52.85714285714285,454.0,11.0,1.2857142857142858,396.0,332.00000000000006,249.00000000000003,499.0
2020-03-24,56.142857142857146,485.0,11.0,1.1428571428571428,499.0,396.0,332.0,536.0
2020-03-25,69.71428571428571,601.0,13.0,1.4285714285714286,536.0,499.0,396.0,657.0
2020-03-26,76.14285714285714,661.0,21.0,2.428571428571429,657.0,536.0,499.0,726.9999999999999
2020-03-27,91.14285714285714,793.0,21.0,2.2857142857142856,727.0,657.0,536.0,887.0
2020-03-28,93.57142857142857,878.0,25.0,2.857142857142857,887.0,727.0,657.0,987.0
2020-03-29,89.71428571428571,901.0,28.0,2.857142857142857,987.0,887.0,727.0,1024.0
2020-03-30,107.42857142857143,1116.0,33.0,3.142857142857143,1024.0,987.0,887.0,1251.0
2020-03-31,123.0,1238.0,36.0,3.5714285714285716,1251.0,1024.0,987.0,1397.0
2020-04-01,191.57142857142858,1791.0,59.0,6.57142857142857,1397.0,1251.0,1024.0,1998.0
2020-04-02,259.42857142857144,2279.0,73.0,7.428571428571429,1998.0,1397.0,1251.0,2543.0
2020-04-03,310.2857142857143,2780.0,87.0,9.428571428571429,2543.0,1998.0,1397.0,3059.0000000000005
2020-04-04,371.57142857142856,3259.0,100.0,10.714285714285714,3059.0,2543.0,1998.0,3588.0000000000005
